,full_text
111,"['iyaaasambil', 'jilatin', 'lubang', 'pantatadmin', 'socmed', 'emang', 'otaknya', 'sengklek']"
112,"['kalo', 'dibalik', 'tanya', 'pak', 'bagaimana', 'tatidakpan', 'terhadap', 'anies', 'jawab', 'sorry', 'ni', 'ye', 'asumsi', 'awokwokwok']"
113,"['anies', 'baswedan', 'menyebut', 'tak', 'tahan', 'menjadi', 'oposisi', 'pemerintah', 'pernyataan', 'terlontar', 'debat', 'perdana', 'capres', 'dibantah', 'partai', 'gerindra']"
114,"['anies', 'sindir', 'tak', 'tahan', 'jadi', 'oposisi', 'nusron', 'wahid', 'rekonsiliasi', 'nasional']"
115,"['resmi', 'dukungan', 'uas', 'hrs', 'pakta', 'integritas', 'harus', 'dilaksanakan', 'anies', 'baswedan']"
116,"['sehari', 'debat', 'capres', 'no', 'urut', '1', 'anies', 'baswedan', 'mengunjungi', 'ustadz', 'abdul', 'somad', 'riau', 'adapun', 'capres', 'nomor', 'urut', '2', 'subianto', 'bernyanyi', 'berjoget', 'bersama', 'alumni', 'akmil', 'presiden', 'ri', '6', 'susilo', 'bambang', 'yudhoyono']"
117,"['antara', 'anies', 'ama', 'wowo', 'emang', 'sama', 'sama', 'bego', 'apa', 'gimana', 'menolak', 'lupa']"
118,"['serangan', 'baliknya', 'anies', 'strike']"
119,"['abraham', 'samad', 'menggugat', 'terpilih', 'jd', 'presiden', 'kelleher', 'olivia', 'anies', 'adidas', 'daesang', 'gacoan', 'surabaya', 'pagii', 'gempa', 'ginting', 'dana', 'brighton', 'moldova', 'molly', 'pilihan', 'terbaik', 'first', 'lady']"
120,"['biasaaa', 'buzzer', 'mahh', 'kalo', 'gak', 'nemu', 'kelemahan', 'anies', 'akhirnya', 'bikin2', 'hasutan', 'kalo', 'etidak', 'gak', 'makan']"
